# stan_version_major = 2
# stan_version_minor = 24
# stan_version_patch = 0
# model = lognormal_inf_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = /home/george/OneDrive/OPTIMLab/Grants/Aerosols/code/aerosols/temp.data.R
# init = /home/george/OneDrive/OPTIMLab/Grants/Aerosols/code/aerosols/temp.init.R
# random
#   seed = 207132
# output
#   file = output-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_mu,mu_sigma,sigma_alpha,sigma_beta,mu,sigma
# Adaptation terminated
# Step size = 0.000125181
# Diagonal elements of inverse mass matrix:
# 9.9013e-06, 9.90207e-06, 9.9018e-06, 9.90191e-06, 9.96438e-06, 0.0101128
1.37318e+09,0.982809,0.000125181,1,1,0,-1.37318e+09,-0.374571,0.0101638,1.99616,2.25043,-1.06151,1.54962
1.37318e+09,0.0886275,0.000125181,7,127,0,-1.37318e+09,-0.374569,0.0101638,1.99616,2.25043,-1.06151,1.54903
1.37318e+09,0.962832,0.000125181,2,3,0,-1.37318e+09,-0.37457,0.0101638,1.99616,2.25043,-1.06151,1.54889
1.37318e+09,0.668692,0.000125181,4,15,0,-1.37318e+09,-0.374567,0.0101638,1.99615,2.25044,-1.06151,1.5446
1.37318e+09,0.961244,0.000125181,2,3,0,-1.37318e+09,-0.374569,0.0101638,1.99615,2.25043,-1.06151,1.54395
1.37318e+09,0.981193,0.000125181,1,1,0,-1.37318e+09,-0.374568,0.0101638,1.99615,2.25043,-1.06151,1.54379
1.37318e+09,0.88224,0.000125181,3,7,0,-1.37318e+09,-0.374566,0.0101638,1.99615,2.25043,-1.06151,1.54229
1.37319e+09,0.961814,0.000125181,2,3,0,-1.37318e+09,-0.374564,0.0101638,1.99615,2.25043,-1.06151,1.54167
1.37319e+09,0.908743,0.000125181,2,3,0,-1.37319e+09,-0.374565,0.0101638,1.99615,2.25043,-1.06151,1.5415
1.37319e+09,0.980894,0.000125181,1,1,0,-1.37319e+09,-0.374566,0.0101638,1.99615,2.25043,-1.06151,1.54134
1.37319e+09,0.982276,0.000125181,1,1,0,-1.37319e+09,-0.374565,0.0101638,1.99615,2.25043,-1.06151,1.54119
1.37319e+09,0.958,0.000125181,2,3,0,-1.37319e+09,-0.374564,0.0101638,1.99615,2.25043,-1.06151,1.54046
1.37319e+09,0.983842,0.000125181,1,1,0,-1.37319e+09,-0.374563,0.0101638,1.99615,2.25043,-1.06151,1.54033
1.37319e+09,0.960946,0.000125181,2,3,0,-1.37319e+09,-0.374565,0.0101638,1.99615,2.25043,-1.06151,1.53968
1.37319e+09,0.981707,0.000125181,1,1,0,-1.37319e+09,-0.374564,0.0101638,1.99615,2.25043,-1.06151,1.53953
1.37319e+09,0.959446,0.000125181,2,3,0,-1.37319e+09,-0.374566,0.0101638,1.99615,2.25043,-1.06151,1.53885
1.37319e+09,0.353722,0.000125181,5,31,0,-1.37319e+09,-0.374564,0.0101638,1.99615,2.25043,-1.06151,1.53816
1.37319e+09,0.96009,0.000125181,2,3,0,-1.37319e+09,-0.374567,0.0101638,1.99615,2.25043,-1.06151,1.53751
1.37319e+09,0.878472,0.000125181,3,7,0,-1.37319e+09,-0.374565,0.0101638,1.99615,2.25043,-1.06151,1.53682
1.37319e+09,0.95973,0.000125181,2,3,0,-1.37319e+09,-0.374565,0.0101638,1.99615,2.25043,-1.06151,1.53666
1.37319e+09,0.979419,0.000125181,1,1,0,-1.37319e+09,-0.374565,0.0101638,1.99615,2.25043,-1.06151,1.5365
1.37319e+09,0.877563,0.000125181,3,7,0,-1.37319e+09,-0.374565,0.0101638,1.99615,2.25043,-1.06151,1.53632
1.37319e+09,0.879174,0.000125181,3,7,0,-1.37319e+09,-0.374565,0.0101638,1.99615,2.25043,-1.06151,1.53617
1.37319e+09,0.906281,0.000125181,2,3,0,-1.37319e+09,-0.374564,0.0101638,1.99615,2.25043,-1.06151,1.5346
1.37319e+09,0.95743,0.000125181,2,3,0,-1.37319e+09,-0.374565,0.0101638,1.99615,2.25043,-1.06151,1.53442
1.37319e+09,0.957967,0.000125181,2,3,0,-1.37319e+09,-0.374565,0.0101638,1.99615,2.25043,-1.06151,1.53373
1.3732e+09,0.653689,0.000125181,4,15,0,-1.37319e+09,-0.37456,0.0101638,1.99615,2.25044,-1.06151,1.52942
1.3732e+09,0.981283,0.000125181,1,1,0,-1.3732e+09,-0.37456,0.0101638,1.99615,2.25044,-1.06151,1.52927
1.3732e+09,0.874216,0.000125181,3,7,0,-1.3732e+09,-0.37456,0.0101638,1.99615,2.25044,-1.06151,1.52909
